Dönem;Pazar;Dil;İş Amacı;Ana Grup;Reklam Hesabı;Para Birimi;Kampanya;Kampanya ID;Kampanya Durumu;Reklam Seti;Set ID;Set Durumu;Optimizasyon;Kampanya Günlük Bütçe;Kampanya Ömür Boyu;Set Günlük Bütçe;Set Ömür Boyu;Gerçekleşen Harcama;Gösterim;Erişim;Tıklama;Form Lead;WhatsApp Lead;Toplam Lead;Ham Mesaj Sonucu;Video İzlenme
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Abdullah Ertaş;​120255158812050399;ACTIVE;REACH;0;0;100;0;2099.79;234055;221811;63;0;0;0;0;11137
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Abdullah Ertaş;​120255158812050399;ACTIVE;REACH;0;0;100;0;476.56;56440;53583;17;0;0;0;0;3110
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Berat Eralp;​120255506674520399;ACTIVE;REACH;0;0;100;0;1311.58;142774;137417;58;0;0;0;0;7043
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Berat Eralp;​120255506674520399;ACTIVE;REACH;0;0;100;0;460.39;54667;53907;20;0;0;0;0;2885
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Büşra Türk;​120255420920950399;ACTIVE;REACH;0;0;100;0;1515.21;167100;159449;101;0;0;0;0;9661
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Büşra Türk;​120255420920950399;ACTIVE;REACH;0;0;100;0;460.97;53842;52237;20;0;0;0;0;2896
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Doğukan Durak;​120255421113630399;ACTIVE;REACH;0;0;100;0;1511.19;166861;155358;45;0;0;0;0;7847
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Doğukan Durak;​120255421113630399;ACTIVE;REACH;0;0;100;0;462.44;55292;53934;17;0;0;0;0;3609
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Ediz Tevfik Özgan;​120255421144210399;ACTIVE;REACH;0;0;100;0;1262.82;138794;127553;81;0;0;0;0;6971
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Ediz Tevfik Özgan;​120255421144210399;ACTIVE;REACH;0;0;100;0;454.38;54568;52344;21;0;0;0;0;3537
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Elif Hizal;​120255506696910399;ACTIVE;REACH;0;0;100;0;1286.76;140850;138099;34;0;0;0;0;6987
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Elif Hizal;​120255506696910399;ACTIVE;REACH;0;0;100;0;451.12;54624;54601;18;0;0;0;0;4071
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım - Ersin Özgören;​120255421156330399;ACTIVE;REACH;0;0;100;0;1434.41;162145;135133;267;0;0;0;0;11038
