"hesap";"ham_meta_adi";"meta_reklam_id";"reklam_seti_ham_adi";"kampanya_ham_adi";"durum";"yaratici_ham_adi";"cta";"destination";"yaratici_metin_ve_baslik";"yaratici_dil_sinyali";"yaratici_kimlik_kalitesi";"yaratici_ailesi";"kunye_kaniti";"insan_notu"
"Doruk Tibbi Bilgiler";"video-2";"52668195121024";"Jinekomasti - Erkek - Amerika - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668194670024";"Jinekomasti - Erkek - Birleşik Krallık - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668194300424";"Jinekomasti - Erkek - Avusturalya - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668193171024";"Jinekomasti - Erkek - Kanada - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-1";"52668195120824";"Jinekomasti - Erkek - Amerika - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-2";"52668194669624";"Jinekomasti - Erkek - Birleşik Krallık - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668194801824";"Jinekomasti - Erkek - Yeni Zellanda - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 4";"52547155577024";"Bahreyn Kadın IOS";"Whatsapp Estetik - Rinoplasti - Arap Bölgesi - Genel - AR - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 1";"52547155577624";"Bahreyn Kadın IOS";"Whatsapp Estetik - Rinoplasti - Arap Bölgesi - Genel - AR - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 2";"52547155574624";"Bahreyn Kadın IOS";"Whatsapp Estetik - Rinoplasti - Arap Bölgesi - Genel - AR - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
